Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-80,-70,0,2.54487E+11,5.08974E+11,7.63461E+11,1.01115E+12,1.25557E+12,1.26596E+12,1.27487E+12,1.28373E+12,1.29253E+12,1.30127E+12,1.03554E+12,7.72586E+11,5.12372E+11,2.54856E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,0,0,0,0,0,3.9833E+11,7.92487E+11,1.18253E+12,1.56853E+12,1.95053E+12,1.55546E+12,1.16289E+12,7.72796E+11,3.85171E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,2.85935E+12,2.40145E+12,1.94355E+12,1.48564E+12,1.02087E+12,5.62282E+11,5.71568E+11,5.80153E+11,5.88671E+11,5.97125E+11,6.05515E+11,4.81863E+11,3.59504E+11,2.3842E+11,1.18591E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,4.57439E+11,9.14877E+11,1.37232E+12,1.81753E+12,2.25688E+12,2.23647E+12,2.21376E+12,2.19129E+12,2.16905E+12,2.14705E+12,2.1236E+12,2.1004E+12,2.07742E+12,2.05468E+12,2.03217E+12,1.62057E+12,1.21156E+12,8.05142E+11,4.01293E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,0,0,0,0,0,0,0,0,0,0,0,2.48501E+11,4.94399E+11,7.37731E+11,9.78536E+11,1.21685E+12,9.70385E+11,7.25475E+11,4.82114E+11,2.40291E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-20,3.77505E+11,5.30772E+11,6.84038E+11,8.37304E+11,9.83952E+11,1.12868E+12,1.14148E+12,1.15292E+12,1.16428E+12,1.17557E+12,1.18677E+12,9.44421E+11,7.04605E+11,4.67288E+11,2.32431E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,6.63167E+11,5.30534E+11,3.979E+11,2.65267E+11,1.31747E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,2.50619E+11,2.57023E+11,2.63427E+11,2.69831E+11,2.74389E+11,2.78893E+11,2.2236E+11,1.66026E+11,1.10194E+11,54855078531,0,0,0,0,0,0,1.00004E+11,1.99372E+11,2.98107E+11,3.96214E+11,4.93696E+11,4.96085E+11,4.98447E+11,5.00781E+11,5.03088E+11,5.05367E+11,5.06731E+11,5.08067E+11,5.09375E+11,5.10656E+11,5.11909E+11,5.11722E+11,5.11508E+11,5.11266E+11,5.10996E+11,5.10698E+11,5.1047E+11,5.10214E+11,5.09958E+11,5.09702E+11,5.09446E+11,5.0919E+11,5.08934E+11,5.08678E+11,5.08422E+11,5.08166E+11
0,0,0,0,0,0,0,0,61137783548,1.2173E+11,1.81786E+11,2.41318E+11,3.00334E+11,3.03325E+11,3.06284E+11,3.09211E+11,3.12107E+11,3.14972E+11,2.51176E+11,1.87783E+11,1.24791E+11,62197488314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,10,2.63442E+12,2.60631E+12,2.57819E+12,2.55008E+12,2.50511E+12,2.4608E+12,2.4171E+12,2.37108E+12,2.32551E+12,2.28038E+12,2.23569E+12,2.18546E+12,2.13575E+12,2.08655E+12,2.03785E+12,1.98966E+12,2.07795E+12,2.16566E+12,2.2528E+12,2.33937E+12,2.42537E+12,2.38405E+12,2.343E+12,2.30222E+12,2.2617E+12,2.22145E+12,2.18084E+12,2.14052E+12,2.10049E+12,2.06075E+12,2.0213E+12,1.84061E+12,1.66189E+12,1.48514E+12,1.31035E+12,1.13752E+12,9.59781E+11,7.84007E+11,6.08233E+11,4.32459E+11,2.56685E+11,80911503442,0,0,0,0
