Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-400,-350,1.08604E+11,1.20276E+11,1.31823E+11,1.43246E+11,1.54382E+11,1.65373E+11,1.55027E+11,1.42421E+11,1.29845E+11,1.17299E+11,1.04782E+11,1.19052E+11,1.33271E+11,1.47441E+11,1.61563E+11,1.75636E+11,1.67671E+11,1.59723E+11,1.5179E+11,1.43873E+11,1.35971E+11,1.08634E+11,81369371294,54175450093,27052428253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,51683495255,3.95339E+11,7.35256E+11,1.0715E+12,1.40265E+12,1.72954E+12,1.40418E+12,1.05565E+12,7.07921E+11,3.60954E+11,14733059270,19605469457,24460436880,29298234449,34119126114,38923374341,31232951592,23557535987,15897019370,8251294615,620255845.7,616596880.2,612947683.1,609308221.2,605678462.7,602058374.6,58567122527,1.16363E+11,1.73991E+11,2.31451E+11,2.88745E+11,2.87721E+11,2.86698E+11,2.85677E+11,2.84658E+11,2.83641E+11,2.82617E+11,2.81596E+11,2.80575E+11,2.79554E+11,2.78534E+11,2.77513E+11,2.76492E+11,2.75471E+11,2.7445E+11,2.73429E+11
-300,-250,1.8053E+12,1.43632E+12,1.07138E+12,7.10396E+11,3.52914E+11,0,16769894662,33502468751,50198726868,66859644872,83486175870,66667092548,49909884547,33213593010,16577272120,0,58929963301,1.17746E+11,1.76448E+11,2.35038E+11,2.93516E+11,2.93396E+11,2.93276E+11,2.93156E+11,2.93037E+11,2.92918E+11,2.34511E+11,1.76274E+11,1.18206E+11,60306966420,2576079096,2575841523,2575578661,2575290248,2574976360,2574636730,2574390863,2574102414,2573813964,2573525515,2573237065,2572948616,2572660166,2572371717,2572083267,2571794818
-250,-200,4.18292E+11,3.40855E+11,2.64265E+11,1.88506E+11,1.13441E+11,39333730101,39429259615,38981470058,38535351583,38090863594,37647968887,96958218966,1.56054E+11,2.1494E+11,2.73618E+11,3.32091E+11,2.65415E+11,1.98868E+11,1.32451E+11,66161807971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,1.35352E+11,1.49773E+11,1.64039E+11,1.78152E+11,1.91909E+11,2.05488E+11,3.56284E+11,5.03906E+11,6.51212E+11,7.9821E+11,9.44908E+11,7.98756E+11,6.53144E+11,5.08064E+11,3.63508E+11,2.19468E+11,1.79193E+11,1.38997E+11,98878356622,58837476448,18873550076,18833240946,18793043364,18752957120,18712982047,18673117938,18585031696,18497193083,18409600961,18322255231,18235154760,18109578559,17984385279,17859573102,17735142575,17611091886,17485644244,17360831829,17236019415,17111207001,16986394586,16861582172,16736769758,16611957344,16487144929,16362332515
-150,-100,7.37225E+11,8.13536E+11,8.89025E+11,9.63707E+11,1.03648E+12,1.10832E+12,8.98108E+11,6.73063E+11,4.48527E+11,2.24484E+11,923577720.1,5004937494,9071544918,13123630022,17161416851,21185126608,24547818063,27904054451,31253882243,34597347241,37934494919,38022737793,38110762369,38198570130,38286162642,38373541399,38455556236,38537313491,38618813779,38700059889,38781052442,38783480612,38785500829,38787109166,38788306762,38789089585,38791383816,38792991602,38794599388,38796207174,38797814959,38799422745,38801030531,38802638317,38804246102,38805853888
-100,-90,0,0,0,0,0,0,51564421.83,103014089.6,154352092.2,205581430.4,256705034.6,204989366.5,153463953.8,102125848.4,50972142.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,41793209.59,83131592.09,124023836.2,164301945.4,204062812.3,165325008.5,123855785.4,82480193.57,41195739.38,0,0,0,0,0,0,108400415.2,216590832.5,324572764.4,432347706.2,539917138.4,539898073.2,539879234.2,539860628.3,539842263.4,539824146.4,539373150.1,538923206.4,538474305.9,538026469.6,537579688.2,535920203.8,534262743.8,532607254.2,530953751,529302179.2,527643397.4,525987900.5,524332403.5,522676906.6,521021409.7,519365912.7,517710415.8,516054918.8,514399421.9,512743925
-80,-70,8.53441E+11,6.7901E+11,5.06486E+11,3.35834E+11,1.66837E+11,0,47297721210,94490183676,1.4158E+11,1.88571E+11,2.35464E+11,1.88028E+11,1.40766E+11,93675440082,46754449623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,45367514033,90241302531,1.34631E+11,1.78354E+11,2.21515E+11,1.83614E+11,1.42738E+11,1.01956E+11,61263096113,20658318272,69281364885,1.17729E+11,1.66003E+11,2.14108E+11,2.62044E+11,2.10422E+11,1.58901E+11,1.0748E+11,56158511622,4935304137,4934829541,4934357800,4933888970,4933423121,4932960313,4928666926,4924383658,4920110423,4915847411,4911594534,63269826895,1.21363E+11,1.79192E+11,2.36756E+11,2.94055E+11,3.52325E+11,4.10154E+11,4.67983E+11,5.25811E+11,5.8364E+11,6.41469E+11,6.99298E+11,7.57126E+11,8.14955E+11,8.72784E+11
