Share that is New (dimensionless),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,0.076544818,0.076544818,0.076544818,0.076544818,0.076544818,0.076544818,0.076544818
HDVs,0.076544818,0.076544818,0.076544818,0.076544818,0.076544818,0.076544818,0.076544818
aircraft,0.042890184,0.042890184,0.042890184,0.042890184,0.042890184,0.042890184,0.042890184
rail,0.047358873,0.047358873,0.047358873,0.047358873,0.047358873,0.047358873,0.047358873
ships,0.034126861,0.034126861,0.034126861,0.034126861,0.034126861,0.034126861,0.034126861
motorbikes,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333
