$,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
heating,1.75E+10,1.75E+10,1.72E+10,1.69E+10,1.61E+10,1.56E+10,1.55E+10,1.53E+10,1.53E+10,1.51E+10,1.49E+10,1.46E+10,1.44E+10,1.42E+10,1.39E+10,1.37E+10,1.36E+10,1.35E+10,1.34E+10,1.32E+10,1.31E+10,1.30E+10,1.28E+10,1.27E+10,1.25E+10,1.23E+10,1.22E+10,1.21E+10,1.19E+10,1.18E+10,1.17E+10,1.15E+10,1.14E+10,1.12E+10,1.11E+10,1.09E+10,1.09E+10,1.06E+10,1.05E+10,1.04E+10,1.04E+10,1.01E+10,9.98E+09,9.87E+09,9.87E+09,9.65E+09,0.00E+00
cooling and ventilation,7.59E+09,7.60E+09,7.47E+09,7.32E+09,6.98E+09,6.79E+09,6.73E+09,6.66E+09,6.63E+09,6.55E+09,6.45E+09,6.36E+09,6.26E+09,6.16E+09,6.05E+09,5.95E+09,5.90E+09,5.85E+09,5.80E+09,5.75E+09,5.69E+09,5.63E+09,5.57E+09,5.50E+09,5.43E+09,5.36E+09,5.31E+09,5.25E+09,5.19E+09,5.13E+09,5.06E+09,5.00E+09,4.93E+09,4.87E+09,4.80E+09,4.74E+09,4.73E+09,4.61E+09,4.56E+09,4.50E+09,4.50E+09,4.39E+09,4.34E+09,4.29E+09,4.29E+09,4.19E+09,0.00E+00
envelope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,4.17E+10,4.17E+10,4.10E+10,4.02E+10,3.84E+10,3.75E+10,3.72E+10,3.68E+10,3.65E+10,3.60E+10,3.56E+10,3.51E+10,3.46E+10,3.41E+10,3.35E+10,3.29E+10,3.27E+10,3.25E+10,3.22E+10,3.20E+10,3.17E+10,3.14E+10,3.10E+10,3.07E+10,3.03E+10,3.00E+10,2.97E+10,2.94E+10,2.91E+10,2.88E+10,2.84E+10,2.81E+10,2.78E+10,2.74E+10,2.71E+10,2.67E+10,2.67E+10,2.60E+10,2.57E+10,2.54E+10,2.54E+10,2.48E+10,2.45E+10,2.42E+10,2.42E+10,2.37E+10,0.00E+00
appliances,1.62E+10,1.62E+10,1.60E+10,1.57E+10,1.49E+10,1.46E+10,1.44E+10,1.43E+10,1.42E+10,1.40E+10,1.38E+10,1.36E+10,1.34E+10,1.32E+10,1.30E+10,1.28E+10,1.27E+10,1.26E+10,1.25E+10,1.24E+10,1.22E+10,1.21E+10,1.20E+10,1.19E+10,1.17E+10,1.16E+10,1.14E+10,1.13E+10,1.12E+10,1.11E+10,1.09E+10,1.08E+10,1.07E+10,1.05E+10,1.04E+10,1.03E+10,1.03E+10,1.00E+10,9.87E+09,9.75E+09,9.75E+09,9.51E+09,9.40E+09,9.29E+09,9.29E+09,9.09E+09,0.00E+00
other component,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
