$,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
heating,2093761324,2095977677,2101273807,2065274398,2030003971,1939758966,1902443717,1883052382,1862221240,1842862522,1821886571,1799658487,1776469861,1752404082,1727032408,1700228499,1673474211,1663425558,1652633460,1640895378,1628225112,1614644863,1600232041,1585000347,1568947346,1552109552,1534546972,1520990147,1506811510,1492057387,1476777857,1461026572,1444860833,1428416598,1411933981,1395232291,1378399287,1361645231,1344895440,1328487992,1312397011,1296638851,1281225784,1266250187,1251807058,1238047831,-715557863.5
cooling and ventilation,1.97492E+11,1.97697E+11,1.9819E+11,1.94797E+11,1.91468E+11,1.82948E+11,1.79428E+11,1.77603E+11,1.75643E+11,1.73816E+11,1.71836E+11,1.69739E+11,1.67551E+11,1.6528E+11,1.62886E+11,1.60357E+11,1.57833E+11,1.56885E+11,1.55866E+11,1.54758E+11,1.53563E+11,1.52282E+11,1.50922E+11,1.49484E+11,1.4797E+11,1.46381E+11,1.44724E+11,1.43445E+11,1.42107E+11,1.40715E+11,1.39274E+11,1.37787E+11,1.36262E+11,1.34711E+11,1.33156E+11,1.3158E+11,1.29992E+11,1.28411E+11,1.26831E+11,1.25283E+11,1.23765E+11,1.22278E+11,1.20824E+11,1.19411E+11,1.18048E+11,1.1675E+11,-67543774668
envelope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,2.08347E+11,2.08496E+11,2.0891E+11,2.05377E+11,2.01824E+11,1.92707E+11,1.88984E+11,1.87134E+11,1.85136E+11,1.83194E+11,1.81091E+11,1.78865E+11,1.76544E+11,1.74136E+11,1.71598E+11,1.68918E+11,1.66243E+11,1.65235E+11,1.64152E+11,1.62976E+11,1.61707E+11,1.60348E+11,1.58906E+11,1.57382E+11,1.55777E+11,1.54093E+11,1.52338E+11,1.50982E+11,1.49564E+11,1.48089E+11,1.46562E+11,1.44988E+11,1.43372E+11,1.41729E+11,1.40083E+11,1.38414E+11,1.36732E+11,1.35059E+11,1.33386E+11,1.31747E+11,1.3014E+11,1.28566E+11,1.27026E+11,1.2553E+11,1.24088E+11,1.22713E+11,-72078194615
appliances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other component,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
