Unit:BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
rubber and plastic products 22,4.87E+14,5.05E+14,5.58E+14,5.54E+14,5.61E+14,5.79E+14,6.01E+14,6.22E+14,6.40E+14,6.54E+14,6.65E+14,6.71E+14,6.73E+14,6.73E+14,6.69E+14,6.64E+14,6.59E+14,6.54E+14,6.50E+14,6.47E+14,6.43E+14,6.39E+14,6.36E+14,6.33E+14,6.29E+14,6.26E+14,6.23E+14,6.21E+14,6.18E+14,6.15E+14,6.13E+14,6.11E+14,6.09E+14,6.07E+14,6.06E+14,6.04E+14,6.03E+14,6.02E+14,6.01E+14,6.00E+14,6.00E+14,5.97E+14
glass and glass products 231,1.70E+14,1.70E+14,1.99E+14,2.09E+14,2.13E+14,2.24E+14,2.38E+14,2.52E+14,2.64E+14,2.74E+14,2.83E+14,2.92E+14,3.00E+14,3.07E+14,3.14E+14,3.21E+14,3.28E+14,3.36E+14,3.44E+14,3.52E+14,3.60E+14,3.68E+14,3.76E+14,3.84E+14,3.93E+14,4.01E+14,4.08E+14,4.16E+14,4.24E+14,4.31E+14,4.38E+14,4.44E+14,4.51E+14,4.56E+14,4.61E+14,4.66E+14,4.70E+14,4.73E+14,4.76E+14,4.78E+14,4.79E+14,4.77E+14
cement and other nonmetallic minerals 239,1.28E+15,1.34E+15,1.34E+15,1.35E+15,1.35E+15,1.35E+15,1.35E+15,1.37E+15,1.38E+15,1.40E+15,1.42E+15,1.43E+15,1.42E+15,1.40E+15,1.38E+15,1.36E+15,1.35E+15,1.32E+15,1.30E+15,1.28E+15,1.26E+15,1.23E+15,1.20E+15,1.17E+15,1.14E+15,1.11E+15,1.08E+15,1.05E+15,1.03E+15,1.01E+15,9.81E+14,9.57E+14,9.42E+14,9.28E+14,9.13E+14,8.99E+14,8.84E+14,8.77E+14,8.70E+14,8.63E+14,8.56E+14,8.47E+14
iron and steel 241,2.20E+15,2.32E+15,2.40E+15,2.48E+15,2.56E+15,2.65E+15,2.73E+15,2.79E+15,2.85E+15,2.91E+15,2.96E+15,3.02E+15,3.02E+15,3.02E+15,3.03E+15,3.03E+15,3.03E+15,3.00E+15,2.96E+15,2.93E+15,2.89E+15,2.86E+15,2.80E+15,2.73E+15,2.67E+15,2.61E+15,2.54E+15,2.48E+15,2.42E+15,2.35E+15,2.29E+15,2.22E+15,2.17E+15,2.11E+15,2.06E+15,2.00E+15,1.95E+15,1.89E+15,1.83E+15,1.77E+15,1.71E+15,1.65E+15
other metals 242,2.28E+15,2.43E+15,2.60E+15,2.77E+15,2.94E+15,3.11E+15,3.28E+15,3.45E+15,3.62E+15,3.78E+15,3.95E+15,4.11E+15,4.20E+15,4.29E+15,4.37E+15,4.46E+15,4.54E+15,4.57E+15,4.60E+15,4.63E+15,4.66E+15,4.68E+15,4.67E+15,4.66E+15,4.65E+15,4.64E+15,4.63E+15,4.57E+15,4.51E+15,4.45E+15,4.39E+15,4.33E+15,4.23E+15,4.13E+15,4.03E+15,3.93E+15,3.84E+15,3.74E+15,3.64E+15,3.54E+15,3.44E+15,3.33E+15
metal products except machinery and vehicles 25,5.71E+14,5.30E+14,6.38E+14,6.43E+14,6.50E+14,6.69E+14,6.93E+14,7.16E+14,7.36E+14,7.53E+14,7.67E+14,7.79E+14,7.89E+14,7.97E+14,8.03E+14,8.09E+14,8.13E+14,8.19E+14,8.25E+14,8.31E+14,8.35E+14,8.40E+14,8.44E+14,8.48E+14,8.52E+14,8.55E+14,8.58E+14,8.60E+14,8.63E+14,8.65E+14,8.66E+14,8.68E+14,8.69E+14,8.70E+14,8.71E+14,8.72E+14,8.72E+14,8.72E+14,8.72E+14,8.72E+14,8.72E+14,8.68E+14
computers and electronics 26,5.37E+14,5.62E+14,6.74E+14,7.34E+14,7.52E+14,7.99E+14,8.57E+14,9.09E+14,9.51E+14,9.87E+14,1.02E+15,1.05E+15,1.09E+15,1.13E+15,1.18E+15,1.22E+15,1.27E+15,1.32E+15,1.38E+15,1.43E+15,1.48E+15,1.52E+15,1.57E+15,1.62E+15,1.66E+15,1.71E+15,1.75E+15,1.79E+15,1.83E+15,1.86E+15,1.89E+15,1.92E+15,1.95E+15,1.98E+15,2.00E+15,2.02E+15,2.03E+15,2.05E+15,2.06E+15,2.06E+15,2.07E+15,2.06E+15
appliances and electrical equipment 27,2.93E+14,3.22E+14,3.90E+14,4.42E+14,4.55E+14,4.89E+14,5.32E+14,5.75E+14,6.12E+14,6.45E+14,6.76E+14,7.05E+14,7.34E+14,7.62E+14,7.91E+14,8.20E+14,8.48E+14,8.77E+14,9.06E+14,9.35E+14,9.63E+14,9.90E+14,1.02E+15,1.04E+15,1.07E+15,1.09E+15,1.11E+15,1.13E+15,1.15E+15,1.17E+15,1.18E+15,1.20E+15,1.21E+15,1.23E+15,1.24E+15,1.24E+15,1.25E+15,1.26E+15,1.26E+15,1.27E+15,1.27E+15,1.26E+15
other machinery 28,2.03E+14,2.10E+14,2.38E+14,2.61E+14,2.63E+14,2.69E+14,2.78E+14,2.87E+14,2.97E+14,3.06E+14,3.15E+14,3.23E+14,3.30E+14,3.36E+14,3.41E+14,3.46E+14,3.49E+14,3.53E+14,3.56E+14,3.58E+14,3.60E+14,3.61E+14,3.62E+14,3.62E+14,3.62E+14,3.61E+14,3.60E+14,3.59E+14,3.57E+14,3.56E+14,3.54E+14,3.52E+14,3.50E+14,3.48E+14,3.46E+14,3.44E+14,3.43E+14,3.41E+14,3.40E+14,3.39E+14,3.39E+14,3.37E+14
road vehicles 29,3.52E+14,4.04E+14,4.31E+14,4.59E+14,4.86E+14,5.13E+14,5.40E+14,5.56E+14,5.71E+14,5.87E+14,6.02E+14,6.17E+14,6.25E+14,6.32E+14,6.39E+14,6.46E+14,6.53E+14,6.51E+14,6.49E+14,6.48E+14,6.46E+14,6.44E+14,6.42E+14,6.40E+14,6.38E+14,6.36E+14,6.34E+14,6.32E+14,6.30E+14,6.29E+14,6.27E+14,6.25E+14,6.24E+14,6.23E+14,6.23E+14,6.22E+14,6.21E+14,6.20E+14,6.19E+14,6.18E+14,6.17E+14,6.13E+14
nonroad vehicles 30,5.67E+13,5.45E+13,6.13E+13,6.36E+13,6.40E+13,6.52E+13,6.67E+13,6.81E+13,6.94E+13,7.05E+13,7.13E+13,7.20E+13,7.24E+13,7.26E+13,7.27E+13,7.27E+13,7.25E+13,7.25E+13,7.25E+13,7.24E+13,7.22E+13,7.20E+13,7.18E+13,7.16E+13,7.13E+13,7.10E+13,7.07E+13,7.04E+13,7.01E+13,6.97E+13,6.94E+13,6.91E+13,6.88E+13,6.85E+13,6.82E+13,6.80E+13,6.78E+13,6.76E+13,6.74E+13,6.73E+13,6.72E+13,6.68E+13
other manufacturing 31T33,3.44E+14,3.68E+14,4.29E+14,4.29E+14,4.34E+14,4.48E+14,4.65E+14,4.81E+14,4.95E+14,5.08E+14,5.18E+14,5.27E+14,5.34E+14,5.40E+14,5.45E+14,5.49E+14,5.53E+14,5.58E+14,5.63E+14,5.68E+14,5.72E+14,5.76E+14,5.80E+14,5.83E+14,5.86E+14,5.89E+14,5.92E+14,5.95E+14,5.97E+14,5.99E+14,6.01E+14,6.03E+14,6.05E+14,6.06E+14,6.07E+14,6.08E+14,6.09E+14,6.09E+14,6.10E+14,6.10E+14,6.10E+14,6.07E+14
energy pipelines and gas processing 352T353,6.34E+13,5.78E+13,7.09E+13,7.63E+13,7.96E+13,8.82E+13,9.97E+13,1.11E+14,1.22E+14,1.31E+14,1.40E+14,1.49E+14,1.58E+14,1.68E+14,1.78E+14,1.88E+14,1.99E+14,2.10E+14,2.22E+14,2.34E+14,2.46E+14,2.59E+14,2.71E+14,2.84E+14,2.97E+14,3.10E+14,3.22E+14,3.35E+14,3.47E+14,3.59E+14,3.70E+14,3.81E+14,3.91E+14,4.01E+14,4.10E+14,4.17E+14,4.24E+14,4.30E+14,4.34E+14,4.37E+14,4.39E+14,4.38E+14
water and waste 36T39,2.22E+14,2.43E+14,2.81E+14,2.98E+14,3.05E+14,3.25E+14,3.52E+14,3.78E+14,4.01E+14,4.22E+14,4.41E+14,4.59E+14,4.77E+14,4.94E+14,5.11E+14,5.28E+14,5.44E+14,5.62E+14,5.80E+14,5.98E+14,6.15E+14,6.32E+14,6.49E+14,6.66E+14,6.82E+14,6.97E+14,7.12E+14,7.27E+14,7.40E+14,7.54E+14,7.66E+14,7.77E+14,7.88E+14,7.98E+14,8.06E+14,8.14E+14,8.20E+14,8.25E+14,8.29E+14,8.32E+14,8.33E+14,8.29E+14
construction 41T43,3.38E+14,3.45E+14,3.65E+14,3.71E+14,3.90E+14,4.10E+14,4.27E+14,4.49E+14,4.69E+14,4.87E+14,5.05E+14,5.26E+14,5.40E+14,5.56E+14,5.71E+14,5.85E+14,5.97E+14,6.12E+14,6.24E+14,6.36E+14,6.46E+14,6.56E+14,6.65E+14,6.73E+14,6.81E+14,6.88E+14,6.94E+14,6.99E+14,7.04E+14,7.09E+14,7.13E+14,7.16E+14,7.19E+14,7.22E+14,7.25E+14,7.28E+14,7.30E+14,7.33E+14,7.35E+14,7.38E+14,7.41E+14,7.42E+14
