Vehicle type,government,nonenergy industries,labor and consumers,foreign entities,electricity suppliers,coal suppliers,natural gas and petroleum suppliers,biomass and biofuel suppliers,other energy suppliers
LDVs,0,0.244327758,0.742321405,0,0.005198235,0.005663007,0.001723099,0.000766496,0
HDVs,0,0.632814041,0.332607011,0,0.013463539,0.014667307,0.004462862,0.00198524,0
aircraft,0,0.948188026,0,0,0.020173331,0.021977017,0.006687007,0.002974619,0
rail,0,0.948188026,0,0,0.020173331,0.021977017,0.006687007,0.002974619,0
ships,0,0.379275211,0.6,0,0.008069332,0.008790807,0.002674803,0.001189848,0
motorbikes,0,0,0,0,0,0,0,0,0
