Efficiency (dimensionless),
electricity,3.664
coal,0.744
natural gas,0.744
biomass,0.744
petroleum diesel,0.744
heat,0.744
crude oil,0.744
heavy or residual fuel oil,0.744
LPG propane or butane,0.744
hydrogen,0.744
