商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币,,商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币
27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品,含有生物柴油,但废油除外",2020,出口,2954,千克,3181,升,"184,873",,28041000,氢,2018,进口,7,千克,26,立方米,"25,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品，含有生物柴油,但废油除外",2021,出口,7285,千克,8131,升,"536,049",,28041000,氢,2019,进口,5,千克,58,立方米,"10,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品，含有生物柴油,但废油除外",2022,出口,23245839,千克,27894265,升,"161,355,595",,28041000,氢,2020,进口,318,千克,1809,立方米,"2,510,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2017,出口,400496,千克,406506,升,"4,752,245",,28041000,氢,2021,进口,12,千克,132,立方米,"45,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2018,出口,6328444,千克,6423440,升,"80,365,767",,28041000,氢,2022,进口,6,千克,3486,立方米,"41,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2019,出口,14797093,千克,15019083,升,"102,193,288",,27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品,含有生物柴油,但废油除外",2017,进口,193199,千克,219039,升,"3,335,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2020,出口,8520036,千克,8649289,升,"85,977,757",,27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品,含有生物柴油,但废油除外",2018,进口,203737,千克,228794,升,"2,884,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101999,其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品，不含有生物柴油,2021,出口,15351483,千克,15626817,升,"129,520,093",,27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品,含有生物柴油,但废油除外",2019,进口,41095,千克,72960,升,"526,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101999,其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品，不含有生物柴油,2022,出口,98691563,千克,100183380,升,"538,910,438",,27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品,含有生物柴油,但废油除外",2020,进口,842577,千克,930717,升,"7,896,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101992,"润滑脂,不含有生物柴油",2017,出口,1496699,千克,1685284,升,"16,393,590",,27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品，含有生物柴油,但废油除外",2021,进口,123491,千克,142485,升,"1,626,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101992,"润滑脂,不含有生物柴油",2018,出口,16006000,千克,18022754,升,"231,132,445",,27102000,"石油及从沥青矿物提取的油类（但原油除外）以及上述油为基本成分(按重量计≥于70%)的其他品目未列名制品，含有生物柴油,但废油除外",2022,进口,25077149,千克,30082112,升,"115,254,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101992,"润滑脂,不含有生物柴油",2019,出口,17888149,千克,20143905,升,"264,910,794",,27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2017,进口,105935449,千克,107524508,升,"866,004,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101992,"润滑脂,不含有生物柴油",2020,出口,16246431,千克,18282305,升,"205,586,689",,27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2018,进口,7607786,千克,7721889,升,"73,552,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101992,润滑脂，不含有生物柴油,2021,出口,17974925,千克,20239863,升,"265,543,140",,27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2019,进口,77268591,千克,78427650,升,"765,968,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101992,润滑脂，不含有生物柴油,2022,出口,22611851,千克,25661367,升,"413,211,747",,27101999,"其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品,不含有生物柴油",2020,进口,91442480,千克,92814174,升,"824,403,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101919,"其他煤油馏分,不含有生物柴油",2017,出口,210,千克,250,升,"1,773",,27101999,其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品，不含有生物柴油,2021,进口,7445775,千克,7557468,升,"65,449,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101919,"其他煤油馏分,不含有生物柴油",2018,出口,89590,千克,114854,升,"586,130",,27101999,其他重油；以石油及从沥青矿物提取的油类为基础成分的未列名制品，不含有生物柴油,2022,进口,161658367,千克,164085243,升,"1,179,312,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27101919,"其他煤油馏分,不含有生物柴油",2019,出口,104710,千克,132633,升,"737,010",,27101992,"润滑脂,不含有生物柴油",2017,进口,25566291,千克,28787311,升,"823,276,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
