Pollutant:,PM25,Unit: grams of PM25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
rubber and plastic products 22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.120E+08,1.140E+08,1.242E+08,1.261E+08,1.303E+08,1.356E+08,1.377E+08,1.391E+08,1.403E+08,1.415E+08,1.429E+08,1.445E+08,1.463E+08,1.478E+08,1.494E+08,1.516E+08,1.535E+08,1.553E+08,1.573E+08,1.593E+08,1.613E+08,1.637E+08,1.659E+08,1.684E+08,1.707E+08,1.732E+08,1.759E+08,1.784E+08,1.812E+08,1.841E+08,1.872E+08,1.890E+08,1.916E+08,1.942E+08,1.967E+08,1.993E+08,2.019E+08,2.044E+08,2.070E+08,2.096E+08,2.121E+08
glass and glass products 231,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.230E+09,6.133E+09,6.407E+09,6.423E+09,6.568E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09,6.686E+09
cement and other nonmetallic minerals 239,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.197E+08,3.141E+08,3.385E+08,3.467E+08,3.584E+08,3.701E+08,3.760E+08,3.797E+08,3.830E+08,3.864E+08,3.902E+08,3.946E+08,3.995E+08,4.035E+08,4.079E+08,4.139E+08,4.191E+08,4.240E+08,4.294E+08,4.351E+08,4.404E+08,4.470E+08,4.530E+08,4.597E+08,4.661E+08,4.729E+08,4.803E+08,4.871E+08,4.946E+08,5.027E+08,5.113E+08,5.161E+08,5.231E+08,5.301E+08,5.372E+08,5.442E+08,5.512E+08,5.582E+08,5.652E+08,5.722E+08,5.792E+08
iron and steel 241,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.141E+10,1.651E+10,1.972E+10,1.907E+10,2.164E+10,2.469E+10,2.473E+10,2.477E+10,2.482E+10,2.490E+10,2.524E+10,2.562E+10,2.596E+10,2.590E+10,2.594E+10,2.638E+10,2.652E+10,2.672E+10,2.716E+10,2.761E+10,2.747E+10,2.765E+10,2.821E+10,2.920E+10,2.939E+10,2.986E+10,2.997E+10,2.989E+10,3.023E+10,3.056E+10,3.143E+10,3.159E+10,3.195E+10,3.231E+10,3.267E+10,3.302E+10,3.338E+10,3.374E+10,3.410E+10,3.446E+10,3.481E+10
other metals 242,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.425E+09,9.545E+09,1.034E+10,1.021E+10,1.046E+10,1.075E+10,1.089E+10,1.099E+10,1.108E+10,1.117E+10,1.126E+10,1.138E+10,1.154E+10,1.168E+10,1.186E+10,1.206E+10,1.224E+10,1.242E+10,1.261E+10,1.280E+10,1.299E+10,1.318E+10,1.337E+10,1.357E+10,1.376E+10,1.395E+10,1.411E+10,1.425E+10,1.438E+10,1.452E+10,1.468E+10,1.490E+10,1.507E+10,1.523E+10,1.540E+10,1.557E+10,1.574E+10,1.591E+10,1.608E+10,1.624E+10,1.641E+10
metal products except machinery and vehicles 25,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.723E+07,7.773E+07,8.346E+07,8.522E+07,8.948E+07,9.420E+07,9.569E+07,9.663E+07,9.747E+07,9.833E+07,9.930E+07,1.004E+08,1.017E+08,1.027E+08,1.038E+08,1.053E+08,1.066E+08,1.079E+08,1.093E+08,1.107E+08,1.121E+08,1.138E+08,1.153E+08,1.170E+08,1.186E+08,1.204E+08,1.222E+08,1.240E+08,1.259E+08,1.279E+08,1.301E+08,1.314E+08,1.331E+08,1.349E+08,1.367E+08,1.385E+08,1.403E+08,1.420E+08,1.438E+08,1.456E+08,1.474E+08
computers and electronics 26,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.303E+07,2.380E+07,2.599E+07,2.650E+07,2.732E+07,2.810E+07,2.854E+07,2.882E+07,2.907E+07,2.933E+07,2.962E+07,2.996E+07,3.033E+07,3.063E+07,3.097E+07,3.142E+07,3.181E+07,3.219E+07,3.260E+07,3.303E+07,3.344E+07,3.394E+07,3.439E+07,3.490E+07,3.539E+07,3.590E+07,3.646E+07,3.698E+07,3.755E+07,3.816E+07,3.881E+07,3.918E+07,3.971E+07,4.025E+07,4.078E+07,4.131E+07,4.184E+07,4.237E+07,4.291E+07,4.344E+07,4.397E+07
appliances and electrical equipment 27,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.879E+08,1.886E+08,2.023E+08,2.049E+08,2.126E+08,2.225E+08,2.260E+08,2.283E+08,2.302E+08,2.323E+08,2.346E+08,2.372E+08,2.402E+08,2.426E+08,2.452E+08,2.488E+08,2.519E+08,2.549E+08,2.582E+08,2.615E+08,2.648E+08,2.687E+08,2.723E+08,2.763E+08,2.802E+08,2.843E+08,2.887E+08,2.929E+08,2.974E+08,3.022E+08,3.074E+08,3.103E+08,3.145E+08,3.187E+08,3.229E+08,3.271E+08,3.313E+08,3.356E+08,3.398E+08,3.440E+08,3.482E+08
other machinery 28,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.117E+08,1.120E+08,1.208E+08,1.231E+08,1.286E+08,1.346E+08,1.368E+08,1.381E+08,1.393E+08,1.405E+08,1.419E+08,1.435E+08,1.453E+08,1.468E+08,1.484E+08,1.505E+08,1.524E+08,1.542E+08,1.562E+08,1.582E+08,1.602E+08,1.626E+08,1.648E+08,1.672E+08,1.696E+08,1.720E+08,1.747E+08,1.772E+08,1.799E+08,1.828E+08,1.860E+08,1.877E+08,1.903E+08,1.928E+08,1.954E+08,1.979E+08,2.005E+08,2.030E+08,2.056E+08,2.081E+08,2.107E+08
road vehicles 29,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.392E+07,5.754E+07,6.302E+07,6.518E+07,6.794E+07,7.054E+07,7.165E+07,7.236E+07,7.298E+07,7.363E+07,7.435E+07,7.520E+07,7.613E+07,7.689E+07,7.773E+07,7.887E+07,7.986E+07,8.080E+07,8.183E+07,8.291E+07,8.393E+07,8.519E+07,8.633E+07,8.760E+07,8.883E+07,9.012E+07,9.153E+07,9.283E+07,9.426E+07,9.579E+07,9.743E+07,9.836E+07,9.969E+07,1.010E+08,1.024E+08,1.037E+08,1.050E+08,1.064E+08,1.077E+08,1.090E+08,1.104E+08
nonroad vehicles 30,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.053E+07,3.258E+07,3.568E+07,3.690E+07,3.846E+07,3.993E+07,4.056E+07,4.096E+07,4.132E+07,4.168E+07,4.209E+07,4.257E+07,4.310E+07,4.353E+07,4.401E+07,4.465E+07,4.521E+07,4.574E+07,4.633E+07,4.693E+07,4.751E+07,4.823E+07,4.887E+07,4.959E+07,5.029E+07,5.102E+07,5.181E+07,5.255E+07,5.336E+07,5.423E+07,5.515E+07,5.568E+07,5.644E+07,5.719E+07,5.795E+07,5.870E+07,5.946E+07,6.022E+07,6.097E+07,6.173E+07,6.248E+07
other manufacturing 31T33,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.687E+10,7.207E+10,7.834E+10,8.005E+10,8.241E+10,8.786E+10,9.089E+10,9.388E+10,9.661E+10,9.900E+10,1.027E+11,1.070E+11,1.101E+11,1.135E+11,1.172E+11,1.207E+11,1.241E+11,1.277E+11,1.316E+11,1.356E+11,1.389E+11,1.427E+11,1.479E+11,1.540E+11,1.599E+11,1.631E+11,1.657E+11,1.701E+11,1.749E+11,1.803E+11,1.855E+11,1.895E+11,1.941E+11,1.987E+11,2.032E+11,2.078E+11,2.124E+11,2.169E+11,2.215E+11,2.261E+11,2.306E+11
energy pipelines and gas processing 352T353,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E+10,1.783E+10,1.815E+10,1.924E+10,2.019E+10,2.071E+10,2.065E+10,2.064E+10,2.061E+10,2.081E+10,2.098E+10,2.102E+10,2.109E+10,2.110E+10,2.120E+10,2.130E+10,2.130E+10,2.150E+10,2.159E+10,2.177E+10,2.185E+10,2.193E+10,2.204E+10,2.231E+10,2.255E+10,2.271E+10,2.271E+10,2.281E+10,2.287E+10,2.291E+10,2.304E+10,2.326E+10,2.338E+10,2.350E+10,2.363E+10,2.375E+10,2.387E+10,2.400E+10,2.412E+10,2.424E+10,2.436E+10
water and waste 36T39,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.041E+11,2.049E+11,2.064E+11,2.079E+11,2.093E+11,2.108E+11,2.122E+11,2.137E+11,2.151E+11,2.165E+11,2.179E+11,2.192E+11,2.206E+11,2.219E+11,2.232E+11,2.244E+11,2.256E+11,2.268E+11,2.280E+11,2.291E+11,2.302E+11,2.313E+11,2.324E+11,2.334E+11,2.344E+11,2.354E+11,2.364E+11,2.374E+11,2.383E+11,2.393E+11,2.402E+11,2.413E+11,2.423E+11,2.433E+11,2.443E+11,2.453E+11,2.463E+11,2.473E+11,2.483E+11,2.493E+11,2.503E+11
construction 41T43,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.161E+10,5.963E+10,6.214E+10,6.443E+10,6.761E+10,7.041E+10,7.152E+10,7.222E+10,7.285E+10,7.349E+10,7.422E+10,7.506E+10,7.599E+10,7.675E+10,7.759E+10,7.872E+10,7.971E+10,8.065E+10,8.168E+10,8.275E+10,8.377E+10,8.503E+10,8.617E+10,8.744E+10,8.867E+10,8.995E+10,9.136E+10,9.266E+10,9.408E+10,9.561E+10,9.725E+10,9.818E+10,9.951E+10,1.008E+11,1.022E+11,1.035E+11,1.048E+11,1.062E+11,1.075E+11,1.088E+11,1.102E+11
